Artist,Title,Lyrics,URL
Atrium,Fire Fire Fire,"Hey hey hey Mr. DJ pump the music
Dancing to the rhythm moving to the sound
Hey hey hey Mr. DJ make me crazy
Dancing to the rhythm rolling to the ground

All the people moving to the disco
All the people moving dancing up &amp; down
Tokyo London Paris San Francisco
Power and sound

All I need is you

Fire fire fire
Fire to the disco night
Fire fire fire
Energy will make me high
Fire fire fire
Fire to the disco night
Fire fire fire
Energy will make me high
Over the night....

Hey hey hey Mr. DJ pump the music
Listen to the disco listen to the beat
Hey hey hey Mr. DJ make me crazy
Dancing to the rhythm moving on your feet","https://www.eurobeat-prime.com/lyrics.php?lyrics=1406
"
Atrium,In The Name Of Strangers,"Looking for love all night it must be at first sight
For strangers groping in the crowd
A downtown Romeo, what glitters must be gold
And what you need you're screaming loud

Look in the mirror, baby, tell me all you want to see
Is what you get from strangers turning kisses into dreams

In the name of strangers we go
For the love of dangers unknown
In the name of strangers we fall
Making love by numbers, won't you call?

Agendas full of names but none is bound to fame
For lovers there's no sin or shame
We wonder in the dark until we spot the mark
Fasten your seat belts here we go","https://www.eurobeat-prime.com/lyrics.php?lyrics=2784
"
Atrium,Message In A Bottle,"Lost in the sea of passion
Looking 4 the lovely way
My soul and my sensation
Needs an help a love may day !!!

I find my love across the nations
My heart is ready to receive
I need a help 4 my salvation
A woman, special girl...

I've send a message in a bottle, babe
I've send a message 4 you, my lover
I've send a message in a bottle, lady
I'm waiting for an answer from you

I need one right direction
Running out this boundless sea
I need your love protection
A lovely night with you and me","https://www.eurobeat-prime.com/lyrics.php?lyrics=2590
"
Atrium,Mr. Know It All,"Try me baby I know the score,
I know that you are ready
I look around to your desire lady
I know your problems cause I am so magic
I see the logic of your mind

I have a way with words
Don't worry if of - course
You need my help and my protection, you
Go I'm looking at your run
Don't be jumping the gun
Please wait for my start.

I will not be (oh oh)
I will not be (oh oh)
I will not be told what you do
They call me Mr. know it all

Fun and easy, I look around around
You call me crazy, but you don't understand
That I'm so busy
Because I'm perfect and I know it all babe
My answer is the only way","https://www.eurobeat-prime.com/lyrics.php?lyrics=3292
"
Atrium,Night In Tokyo,"Crazy night, crazy night
We move and running to the music
Dance without full of desire

City light, city light
Running in the Tokyo night
We spend the time and the sun is high

We are the maniacs (oh - oh)
Warriors (oh - oh), Energy (oh - oh)
Is the power of
Boys and Girls (oh - oh)
And we move to the city lights
Proving it's your right

The night in Tokyo (Tokyo)
Super sonic fire
All the best desire
Full of action, night of passion
Tokyo (Tokyo)
Eurobeat obsession
All the best recation
Engery broad dance in Tokyo

Crazy night, crazy night
We move and dancin till the 
Morning light moving in my direction

City light, city light
A new dimension for a 
Group of love forming ecstasy","https://www.eurobeat-prime.com/lyrics.php?lyrics=1597
"
Atrium,Side By Side,"Eternity
Like a mystery follow me through the night
I close my eyes and with my sweet fantasy
I'm coming from ecstasy, to harmony
Love is wonderful

Like a red magic flower
You can set all the power
Of my love of my love
Gimme your time gimme your devotion
Tonight is fun ready for emotion

Side by side with love sensation
Side by side without control
side by side we light a fire
Side by side we reach a goal

Side by side with satisfaction
Side by side without control
Side by side a love desire
Side by side sweet soul and energy

Fatality
All my verity I can tell you tonight
I move my mind and with my sincerity
I live in sweet harmony, in ecstasy
Love is wonderful","https://www.eurobeat-prime.com/lyrics.php?lyrics=816
"
Atrium,Space Racing,"Crazy run and celebrations
Foxy lover in the sky
Full of sex and hard vibrations
Hottest fever in the night
Hard and fast my love sensation
Such a runner out of time
Take my love evaluations
Take the power from my mind

Fantasy and fever extasy
You'll never set me free forever set me free
Fantasy and fever extasy
Magic racing over the sky...

Space racing I need a space racing
I need the power in the sky
Forever
Space racing I want a space racing
A magic run into your eyes

Space racing I need a space racing
Your sexy power make me high
Forever
Space racing I want a space racing
A turbo games for all my life
Space racing!!!

Black and white the men of nations
Rocket fire in the sky
Without flags and without fashions
Sex and music for the night
Hardest move and hot reaction
Without drugs and without crimes
Take the love evaluations
All the power of my mind","https://www.eurobeat-prime.com/lyrics.php?lyrics=2374
"
Atrium,Starman,"Starman in the night
Another scene, another fight
Give me your reaction to decide another
action
To control this land
Never bite this hand

I need a very friend of mine I need somebody
Could be so right just like the sun
The world is strange and crazy
Starman can make easy

Starman go to the skyes
Take me where the life is pleasure
Starman I look in your eyes
We've found the treasure

Starman go to the skyes
Walking to the planet nation
Starman a magic delight
Sensation through the night
Never waiste your time
You'll find the best of borderline

It's another question what you feel is not
reaction
To beg a crime
Back into my mind","https://www.eurobeat-prime.com/lyrics.php?lyrics=1116
"
Atrium,Supersonic Fire,"Set me down
Set me free
Set my heart on fire
Set me high
Let me be passion of desire
Loving loving baby c'mon I'm so ready
C'mon into your fire

Yes I'm fly for your desire a wing of fire
I control my body living in the sky

Oh oh oh supersonic fire
Is a dancer for me babe please set me free
Take my flame and my desire
Oh oh oh supersonic fire
Is the game that I need
Let me fly let me be
And my body is on the air
Supersonic fire

Take me high take me out
Tell me you're in action
Let me see what you need all my love reaction
Holding kissing baby
Tell me you're my lady
C'mon you're my desire","https://www.eurobeat-prime.com/lyrics.php?lyrics=1066
"
Atrium,Tokyo Guys,"We live the night in a total passion
We love the money we love the fashion
We move all bodies, a boom boom action
We dance the rhythm with satisfaction

We got the power we spent the
Tokyo night
With all desires
We light the fire
A crazy urban rangers
Funny dancers

Tokyo guys
The warriors
Tokyo guys
We are ready
Tokyo guys
Moving toe the dancing
Tokyo guys Tokyo guys

Tokyo guys
The nightmares (the music)
Tokyo guys
The power (we are groovin')
Tokyo guys
Looking for a disco
Tokyo guys Tokyo guys

We look for disco
For sexy passion
We move the body in right direction
We start the music with strong emotion
We pump the volume for high sensations","https://www.eurobeat-prime.com/lyrics.php?lyrics=1946
"
Atrium,Zorro Zorro,"In the land of Mexico
The sun is full of light
Out of town the crims borning 
Killers in the night

Every way
Criminals and bandits
Makes the land on fire
Waiting 4 your action
Waiting 4 your start
Evil men around you
Women and desire
Love and passion a fearless heart

Zorro Zorro oh oh ooh
Mark with your gold blade
The sign of law
Zorro Zorro
Danger, faither and devotion forever

Zorro Zorro oh oh ooh
Run with your black horse
Gallop and go
Zorro Zorro
Danger, passion and action forever

Out of town the desert
Wild sensation in the night
Like a crazy fox
You kill the bad
You see the right","https://www.eurobeat-prime.com/lyrics.php?lyrics=1208
"
Atrium Feat. Angie Davies,Supermaio,"Superman is became a little old man
Without kryptonite
Superman has a belly full of bad scran
Trembling to the beat

But there's a man
Ready to save justice again
Understand
Come on boy let's make a new gang
I love the

Super super maio macho maio
Come on you take me higher
Your superpower is okay
You kill the enemies you destroy the bands
And take the children by the hand
Super super maio macho maio
You fly across the fire
The danger for you is a play
With you security is guaranteed
You are loaded by hi energy

Superfan super maio I'm your fan
Now I'm safe and free
Superfan super hero yes I am
Dancing to the beat","https://www.eurobeat-prime.com/lyrics.php?lyrics=300
"
Atrium Feat. Helena,Supersonic Lover,"I can make it, I can feel it
I can face the music everyday
I can light this burning fire
Full of love desire
Running through the lights in the night

I can make it, I can fee lit
I can play my lovely games tonight
I can drive in right direction
Full of satisfaction
Babe please don't stop make me high

1 2 3 4 5 6 7 8
Babe I'm the king of the night

Supersonic lover, you will light my fantasy
Supersonic lover don't break my sweet heart
With your power...
Supersonic lover you will change my destiny
Supersonic lover
Your love is a dart
Take me now for passion

I'm your S-U-P-E-R-S-O-N-I-C L-O-V-E-R

I can feel it I can make it
I can face the music everyday
I will run in right direction
Power soul and action
Babe please don't leave me this way

I can feel it, I can make it
I can play my lovely games tonight
I will loose my love emotion
With a magic potion
Kiss me babe you make me high","https://www.eurobeat-prime.com/lyrics.php?lyrics=829
"
Axel,Run To Me,"Tonight is the night
Babe come back
Hurry I need satisfaction
And you know
That's I'm ready to fly
Cause my pressure is high
I want you for a magic night

Come on take the time is right
I wanna be your love (ohh be your lover)
Come on babe I'm burning out
I wanna dance with you tell the morning light (ohh)

Run to me
Because my heart's on fire
Babe I'm burning by desire
You gotta
Run to me
Come on relight my fire
Gimme satisfaction

I need you so much
You're so clever
Sure that my love is forever
And I swear
Now much more than before
You're the one I live for
I want you knockin' at my door","https://www.eurobeat-prime.com/lyrics.php?lyrics=3198
"
Axel Force,I Don't Want To Miss A Thing,"I could stay awake just to hear you breathing
Watch you smile while you are sleeping
While you're far away and dreaming
I could spend my life in this sweet surrender
I could stay lost in this moment forever
Every moment spent with you is a moment I treasure

I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream will never do
I'd still miss you, baby
And I don't wanna miss a thing

Lying close to you feeling your heart beating
And I'm wondering what you're dreaming
Wondering if it's me you're seeing
Then I kiss your eyes and thank God we're together
And I just wanna stay with you
In this moment forever, forever and ever

I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, baby

I don't wanna miss one smile
I don't wanna miss one kiss
Well, I just wanna be with you
Right here with you, just like this
I just wanna hold you close
Feel your heart so close to mine
And stay here in this moment
For all the rest of time

Don't wanna close my eyes
Don't wanna fall asleep","https://www.eurobeat-prime.com/lyrics.php?lyrics=538
"
AXEL.K,Believe Me,"The night in the intersection
I found you turns down eyes and walks out
Feelings that I found what
I looked for over long and long time

I wasn't able to endure it and
I gripped your slender arm
Then i decided that
I never separated the treasure any more

The god introduced you and me
We do not betray the god's likes
Therefore, Girl let's dance tonight
We must be reconciled before tomorrow wakes up

Believe Me one more time
Kiss Me without your doubt
Tonight I apologize to you all foolish mistakes, Darlin'
Believe Me This night is the time of fate
I sweat that I never let you go
The belief is for this transient man
who is just crazy for you

'Cause you had just smiled,
It settled down my pulse a little
I may mimic the beads
You liked this in those days, don't you know?

Though it is not me perfect
I make you happier than the others
My baby, Will you believe?
You know that You are following it so","https://www.eurobeat-prime.com/lyrics.php?lyrics=4312
"
AXEL.K,Dancing In The Fire,"Everyday I miss your love
Into the light I wanna see you, honey
Baby I love your smile,
I love your dance,
I love your voice

Hey
Be of good cheer, take my hand
Come with me, make me higher
You know
It's the night I'm your Knight
Woman, can't you see the light?

Dancing in the fire
Feeling so nice
Oh ring a ding-dong, say ""It's so cool""
Don't cry anymore, anywhere
Baby step all the night like my cat

Keep on
Dancing in the fire
Feeling my beat
Oh ring a ding-dong, say ""It's so cool""
Please take me up, shake it up
Kiss me, I give you heat of LOVE like a...

Every night I give you a love
Into my sight I wanna get you honey
Baby I love your shade,
I love your song,
I love your move","https://www.eurobeat-prime.com/lyrics.php?lyrics=4316
"
AXEL.K,Flowering Fantasia,"I'm just so uneasy and hear me your voice ""Wow!Wow!""
Into the light I wanna see you, raise your hands ""Wow!Wow!""
Comfortable beat is played, so start it to dance ""Wow!Wow!""
Destiny holds you &amp; me together again and again

Just now, dive into the groove
Take my hand and step all through the night
and now, go on play your game
Don't cry anymore I brave you one more time

Hey Baby
Bloom it up! Light my heart!
Nothing changes the shining flower in your FANTASIA
Believe me now! Get it done!
Call my name, catch my hand, take me higher

Look up now! Shoot the Lights!
These were profusion over the Una stagione
Take me up! Shake you up!
Feel the night, hold me tight, I wanna be your man

Vanishing the confusion sing out primary song ""Wow!Wow!""
Naked eyes are lookin' for the bland new happy ""Wow!Wow!""
Hit in the chest, time to countdown, look at me now ""Wow!Wow!""
My love is forever I say to you again and again
","https://www.eurobeat-prime.com/lyrics.php?lyrics=4311
"
AXEL.K,Get It Done,"I'm waiting for my time
but You say ""the Worlds is walking on to the END""
No No No
Girl, so let me know
We're ready together for future forever

I show you now the blight of fire
feelin' you're coming inside
Want to fly in the sky with you now
to hear you sunrise beats

I show you now the blight of fire
Baby you stay by my side
Say good-bye to lonely nights &amp; days
Take my directions
Let's get it done tonight

Smile and look me up
If you are sad, the hopeness is not ready to go
No No No
Girl, please believe me now
We're ready together for future forever","https://www.eurobeat-prime.com/lyrics.php?lyrics=4314
"
AXEL.K,Lunatic Paradise,"The room is shined with the moonlight
I wish to dance with you, honey
An old pocket watch that you are valuing
Forgets to tick away time, no beat, no life

(Ready Go!)
Though it's the age without dreams
(Say Wow!)
Do you believe the fantasy?
(Just Now!)
I will make it so shiny,
Those days I made sun!

Keep on dance through the night
Let us loses sense of time
Change yourself, and can you see
Just like a paradise?

If you lose your way in darkness
I will call the moonlight at once
Don't hesitated any longer, baby

Keep on step through the night
Piling up our bodies tight
The only one that you feel is
Just like a paradise!

If you have the uneasiness
I cut it in pieces with a knife
Don't you feel the loneliness, baby?

You'd said hate the dark at a long night
Tell me the meaning of it, honey
The earth's pocket watch like to your one
forgets to tick away time, no beat, no life","https://www.eurobeat-prime.com/lyrics.php?lyrics=4260
"
AXEL.K,Tiger Dance,"HEY!HEY! Come on now! Let's Start Music!
HEY!HEY! Ride on the Time!
HEY!HEY! Come on now! Let's Start Party!
Let's dance that for now with an emotion

Take you up, Everynight
Make you up, Everyday
EUROBEATs keep on Shining you up!
Hurry up, Take on me
Ride on now, You &amp; me
All through the Night, Shake your Hearts in my arms

Tiger Dance Beating your Life
Tiger Dance Shout out your Love
Tonight is the night you know? Take my hand
Break the tin of your moan
Beat! Shout! Moan tin!

Tiger Dance Beating your Life
Tiger Dance Shout out your Love
If you dance with smile, I give you up
Nobody can't stop now

Wooooo Come on!

HEY!HEY! What are you worried about?
HEY!HEY! Tell me the one
HEY!HEY! If you don't want say anything
Let's dance that for now without the sadness","https://www.eurobeat-prime.com/lyrics.php?lyrics=4319
"
AXEL.K & Shihori,Right or Wrong,"I'm feeling the bright
Come baby, I tell you ""it's all right!""
We're gonna stay all night
I wanna hold you tight
And I will never let you go
Just tonight, take me higher!

Look into my eyes, I'll give you my love
When the night like a fever
I dive into your soul to love me more
And all the things you want, Get right now!

Don't you know the power, feel it now
I'm calling you and exploring the mistery
Can't you see the energy, show you now
So I maybe right, you maybe wrong

Burning like a sun
You're dancing on the music now
I'm falling into you and searching for your love
Do you wanna be my only one
So I maybe wrong, you maybe right

We're shining like a star
Come baby, make your body move
We're gonna play all night
I wanna make you mine
And I will never set you free
Just tonight, take me higher!","https://www.eurobeat-prime.com/lyrics.php?lyrics=4258
"
Babby One,Baby Come On,"Together
Like never
You get me over
Together
Whenever
Feel my passion
Look at me

In the music
Wanna get you down
Keep on grooving
(Like my magic dream)
In the music
You can spin me round
Into the night
I want you baby, come back

Baby come on, baby come on (Lady!)
Over the night you're gonna make me crazy
Into the night I'm gonna dance with you in the dark
I want you, ehy I need you
Baby come on, baby come on (Lady!)
Over the night you're gonna make me crazy
Into the night you let me feel the sound
I'm moving up and down for you","https://www.eurobeat-prime.com/lyrics.php?lyrics=235
"
Babby One,Jingle Jungle Boy,"My name is Bongo Bongo
My parents are from Congo
I'm living in the jungle baby, hot and wild
The colors of the rainbow, oh c'mon baby don't go!
I miss your love you make me cry

Boom, boom, boom, boom, boom
My hearts is thumping now
Baby be my friend
Hey c'mon love me into the heat of the night
Let's c'mon baby, love me into the heat of the night
You got to burn my wings of fire

Jingle jungle boy
And give it up, c'mon and go, go!
Tonight you'll make me cry
Jingle jungle boy
You'll be the queen into my jungle don't let me down
Italian baby
Jingle jungle boy
You got to love me baby please me (please me)
C'mon kiss me, kiss me baby
Jingle jungle boy
I got to rock your body, baby make me fly

Believe in Bongo Bongo
The thunder of the rainbow
I really got to love you baby, hot and wild
I open up the window, hey c'mon baby wake up!
You make me feel in paradise","https://www.eurobeat-prime.com/lyrics.php?lyrics=238
"
Babby One,Let Your Mama Send You Buy The Milk ,"I can meet you, my baby, now
Why don't you tell your mama and let me go?
It's only 5 o'clock in the afternoon
Are we goin' back so soon together? 

You mother won for you, another boyfriend
And now you bother - never let you talk to me
Because you borrow one, for your arrangement 
Why don't you open up, you gonna let me in 

Let your mama send you buy the milk tonight
So we have a reason why to meet every night
Tell your mama ""I wanna drink my milk light"" 
Baby, open up your heart, day by day

Let your mama send you buy the milk tonight
So we have a reason why to meet every night
Tell your mama ""I wanna drink my milk light""
Baby, open up your heart, come tonight

I can hide, see you when I want
You tell me 'how can be such a trouble girl?'
When I go, I just feel that you think of me
I come to you to stay together","https://www.eurobeat-prime.com/lyrics.php?lyrics=4073
"
Babby One,Manga Super Robot,"King of the power
Choir: King of the power
Destroy the fire
Choir: Destroy the fire
My megatronic turbo jet save up the tower
Gun of the power
Choir: Gun of the power
Atomic fire
Choir: Atomic fire
My big machine can take the energy
All over the time

The alien is coming from the outer space
The people is calling me tonight, my race
I fly to the moon and you defeat the dark
They wanna believe in my heart

Manga Super Robot, Super Robot
Choir: oh-oh oh-oh
Mechanical robot
Choir: Woh-oh oh-oh
Run into the space
Fatal embrace
Gamma ray, kill the sunlight

Fire to fire
Choir: Fire to fire
Destroy the power
Choir: Destroy the power
I fly away and all around to hit the fighter
Feel like a hero
Choir: Feel like a hero
Countdown to zero
Choir: Countdown to zero
Tonight the moon is falling down
My jet is burning the night","https://www.eurobeat-prime.com/lyrics.php?lyrics=3564
"
Babby One,My Technotronic New Desire,"Walk me back!!
Now I'm gonna take you to a computer world
Hi tech lovers
There you'll get
All the people need to live and fall in love
We're on fire

Love on the media, like an hysteria
Life in hardly times
I need a video, even a radio
Sex on the net

My technotronic hot desire, relax my fire
Play the game now on the wire
Know you can take me higher

Hold the line
Baby I'm gonna teach how get into my site
Hi-tech lovers
Don't be shy
We can run the risk to fall in love tonight
We're on fire","https://www.eurobeat-prime.com/lyrics.php?lyrics=894
"
Babby One,Rumble The Jungle,"In the fire of the night
You're in danger in the sky
You can feel it, it's so wild

Now you walk into the light
When I'm burning, I'm so hot
Hot emotion through the night

Tell me, yes you want it tonight you're crazy
Yes I'm gonna say ""I got you!""
Tell me why every night I'm lazy
Push me day by day, you'll be my baby

Rumble the jungle
She got my gun
Crumble and rumble
Come on into the sun
Rumble the jungle
You got my freedom
You got the rhythm
You are the one

Baby run into the night
Can you make me feel alright
When you want to hold me tight

Cause it'll never be the same
Come on baby be so hot
Shake me now and be so wild","https://www.eurobeat-prime.com/lyrics.php?lyrics=2108
"
Babby One,Super Knife,"Come on baby tell me why-y-y-y
You're the winner of the nig-ig-ig-ight
Need your love to feel alrig-ig-ig-ight
Tokyo fighter the doctor of my life

Come on baby you're the king of the night
And the moon is alright, baby
In your fight with the crime in the dark
I don't wanna hurt you
A king of nightmare

Super knife to light my fire
Gimme life, you save my body
Super knife your love will take me higher
Come on baby save my life
Come on...

Super knife to light my fire
Gimme life, you save my body
Super knife, gimme life, let me fight, for my life
Super super knife

Come on baby don't be shy-y-y-y
Macho falling from the sky-y-y-y
If you please me, wanna cry-y-y-y
City rangers born from the angels the in the nights","https://www.eurobeat-prime.com/lyrics.php?lyrics=1498
"
Babby One,U.S.A.,"You gotta move, up and down
On a physical touch
Because your kind an attraction
Gives me satisfaction
Get a sound all around
Baby give me too much
You gotta move on higher 'cause
You light my fire

Baby don't you kill me tonight
You gotta be my side
That's all right
Baby, won't you crash in the fight
I see you're born to be wild
Baby try

U.S.A.
Be my ""Lady danger"" U.S.A.
Don't you runaway
U.S.A.
Be my fancy stranger
Baby, go to kill in the fight
You're mighty real of the night

You look at me, look at you
It's a bell what you ring
Because you make me wonder
If you ride on time
Together now, take a sound
It's so risky for you
I wanna play forever
Give it up like never","https://www.eurobeat-prime.com/lyrics.php?lyrics=233
"
Baby Bazooka,Cocoa Bill,"Because I'm leaving without you
My lovely far west
I want to ride into my lonely town
Because you run to my city
You're only the best
I'm so lazy, be my babe

You defeat the baby-gangs
When they steal the bonbons slap their bottoms
Won't you come into my land
So you make me feel alright

You're the boy who can save the world
Yes! Save the magic world
Baby, come on and win
Cocoa Bill
I'm the child who can steal bonbons
Yes! Now I like a ton
Baby, you are too big
Oh Cocoa Bill

I wanna ride in the morning
Together with you
You take me up into the morning light
I keep on moving, on losing
I'm waiting for you
Make me crazy, be my babe","https://www.eurobeat-prime.com/lyrics.php?lyrics=153
"
Baby Bazooka,Doki Doki Lullaby,"Like a lovely lullaby
Won't you let me sleep tonight?
Sing the jingle to your baby
Fall asleep or you get crazy

Like a little carillon
Come on baby sing a song
Don't you wanna tell your Mama
Kiss me and sing your ""Ninna Nanna""

I want to play with your fantastic tin soilders
No, no, no, no, no
Now go to bed, and so I'm playing without you
Baby sleep tonight

Doki Doki Lullaby
Close your eyes my baby
In the moonlight, in the sky
Make your dreams come true
Doki Doki Lullaby
Now it's time to wake up!
Hey you get up
Get up out of bed!

Like a magic lullaby
I feel like in paradise
Tell me, tell me a fairy tale
Can't you see I'm still a baby

Music of my carillon
Is a jingle not a song
Can you teach me a ""Ninna Nanna""
Sing it now to me, oh mama","https://www.eurobeat-prime.com/lyrics.php?lyrics=1762
"
Baby Bazooka,Doki Doki Lullaby (Italian Version),"Ninna nanna, ninna oh
Questo bimbo a chi lo do
Io lo do all'uomo nero che lo tiene un anno intero

Ninna nanna, ninna oh
Questo bimbo a chi lo do
Io lo do alla befana un'intera settimana

Voglio giocare con i tuoi soldatini
No – no – no – no – no!!!
Vai a far la nanna, ci giochiamo domani
Dormi e poi vedrai

Ninna nanna, ninna oh
Dormi bel bambino
Fai la nanna, falla qua
Dormi insieme a me
Ninna nanna, ninna oh
È l'ora della sveglia
Dat' na mosa cala su' dal lech

Ninna nanna, ninna oh
Questo bimbo a chi lo do
Io lo do alla strega nera un'intera primavera

Ninna nanna, ninna oh
Questo bimbo a chi lo do
Io la do alla zia Luana che assomiglia a una befana","https://www.eurobeat-prime.com/lyrics.php?lyrics=1786
"
Baby Bazooka,Parapara Kiddy,"Come and dance now
I want to play so happy
Higher and higher
You take me to the top

Tell me baby
My thought will be so funny
Play these games
Like never before

In the disco I feel the rhythm
I'm the queen of parapara
Music is my joy forever
Rising sun, together we have fun
(Ale Ale Ale)

Parapara Kiddy
I'm Baby Bazooka
1, 2, 3, 4
Editing my song
Parapara Kiddy
Parapara dancer
Make me crazy
Let your body rock

Let the music
Come back to my desire
Over and over
Get out of my control

Let the people
Have fun and dance togther
Move your feet and
Shake to the beat
","https://www.eurobeat-prime.com/lyrics.php?lyrics=1783
"
Baby Energy,Beautiful Boy,"Baby I get never enough
About the way you look at me
Maybe I show you my stuff
So you can see no one but me

A song is in the air
A lovely funny melody
Thundering ripping reality

Beautiful boy you are my joy
You are my beautiful boy
Ahi ahi...
Beautiful boy I'll be your toy
I fall in love and I cry
For you may beautiful boy

Kiss me now and do it again
I'm your puppet I'm your candy
You and me until the end
'Cause I don't wanna be a fancy","https://www.eurobeat-prime.com/lyrics.php?lyrics=1814
"
Baby Energy,Big Boy,"I told you lies but now I'm sorry
I said goodbye boy, I'm missing you
Falling in love is hard for me
But I must confess I'm distressed

Baby forgive me 'cause I'm gonna lie anymore
Woh woh
Darling believe me I couldn't get out all alone
Oh no

Big boy big boy wanna feel your heart boy
Big boy big boy all night long
Big boy big boy let me be your sweet toy
Big boy big boy so take me up
Big boy big boy you're my only love boy
Big boy big boy my one and all
Big boy big boy just to give you my joy
Big boy big boy that's why I sing big boy

I'm not the same you know me that day
I try to change to make you stay
Feel like I give my life away
And you must say it's not too late","https://www.eurobeat-prime.com/lyrics.php?lyrics=1828
"
Baby Energy,Boom Boom In My Heart,"I saw you
Walking down the road and
Singing over and song
I loved you
From the very moment
As you looked into my eyes

I've always been alone
And living on my own
Waiting for someone like you
Caress me with your hand
And I will understand
If you are the only one in my life

Boom boom in my heart
Explosion of a thru desire
Push me into the fire
Boom boom in my heart
This story is gonna live forever
Always be together

Boom boom in my heart
C'mon and touch me pretty baby
Till you make me crazy

Boom boom in my heart...
Boom boom in my heart...

Wake up to see you when you're breathing
Breathing here beside me
To hold you
And never let you leaving
Leaving far away from me

I've always been alone
And living on my own
Waiting for someone like you
Caress me with your hand
And I will understand
If you are the only one in my life

Boom boom in my heart
Explosion of a thru desire
Push me into the fire
Boom boom in my heart
This story is gonna live forever
Always be together
Boom boom in my heart
C'mon and touch me pretty baby
Till you make me crazy

Boom boom in my heart...
Boom boom in my heart...","https://www.eurobeat-prime.com/lyrics.php?lyrics=520
"
Baby Energy,Money Money,"So many people lives to gain a lot of money
They make it up for glory
They loose direction just like you and I

Don't want your car
No ring of gold
I wanna get into your world
And feel your heart to beat for me that's all I need

Boom boom money
It used to be funny
Boom boom money
You play with my heart

Some people say that you will take me
And then you'll let me just like I was a candy
I don't believe 'cause I got faith in love","https://www.eurobeat-prime.com/lyrics.php?lyrics=1699
"
Baby Energy,You Make Me Wonder,"You make me wonder
You make me wonder
You make me wonder
Looking for love
You make me wonder
'N I'm gettin' stronger
Don't play with me
Hurting me so, can't you see

I want to love you for one more day
You turn me out everytime I'm on your way
I'm just a fool in the prison of your soul boy
It's so cold

Love is forgiven, no tears and no fight
Love is the reason I'm living my life
What is the price for the man that I want
I want to know

You make me wonder
You make me wonder
You make me wonder
Looking for love
You make me wonder
'N I'm gettin' stronger
Don't play with me when you know what I feel
You make me wonder... looking for love
You make me wonder... can I be stronger
Don't play with me
Hurting me so, can't you see

Gimme the start of a brand new life
When I will see you forever by my side
Gimme the hope to believe I can survive
Hold me tight","https://www.eurobeat-prime.com/lyrics.php?lyrics=1845
"
Baby Gold,Bailando,"Hey, let the music play around the world
In the heat of the night life
Hey, let the people dance to the rhythm
Dance out of my control

Take my passion on the road
Let me go to the top of fantasy
I believe in destiny
Wanna be the queen of the night

Bailando
You be my only star
And I will be your baby
Bailando
Feel in paradise
A magic light on fire

Hey, come on baby make me feel so hot
In the cool of the night lights
I feel your body, dance on my body
Dance baby all night long
","https://www.eurobeat-prime.com/lyrics.php?lyrics=2093
"
Baby Gold,Colors Of My Love,"Whenever you vome and stop for answer
We gonna spend the night together realize
You really gimme the light to never be alone

You open-up your eyes
Tell me Goodbye
Always forever babe
Gimme the night, together realize
Magic dream for me and you

What's the color of my love
Baby get me now or never
It's the color of my live
I'm coming back to you
(Colors of my love)

Whenever you come and go to the danger
You'll be the one, oh silly babe
I really gonna come back
For getting you, my love","https://www.eurobeat-prime.com/lyrics.php?lyrics=1162
"
Baby Gold,Crazy For You,"Instead of spending
My time to write and play my track
I just can't help thinking of you babe, no
Engage myself
Winking now, today and over
We're skipping up our pretty love

You fill my heart with happiness
The gag, your laughing take me higher
Don't hare, I need you after night
Baby, that's been to nice

CRAZY FOR YOU,
Lazy for you,
Never get me down, ready for you
CRAZY FOR YOU,
Lazy for you,
We are washing time, go!
Baby, I'm CRAZY FOR YOU

Head out, you send me
And rule my basic only safe
I'm dreaming up, think of you without restraint
No matter, babe
No matter for my lovin'
Your daily sunrise will be for us","https://www.eurobeat-prime.com/lyrics.php?lyrics=3223
"
Baby Gold,Gimme Za Night,"Turn my body around
Feel the dreamin joy without control
If you wanna come on and talk to me
Don't be so silly, silly...

If you come back tonight,  
I won't be like a desperate, bad girl
You can apart my sweet love
By your ease enough to do

Gimme the night
Open your eyes, why can't you see my love tonight?
Gimme the night
Gimme the power of your soul, your lonely soul (woah)

Shake your body around
You can hear the sound into my heart
Gonna be the life, with you, get back
Become too pretty, pretty","https://www.eurobeat-prime.com/lyrics.php?lyrics=1606
"
Baby Gold,I Bet For Lovin',"Everybody's looking for love
Every one is out of control
Everybody's over the top
Baby awake me now, I feel so alone

Hold me and squeeze me like never before, babe
Hot love and passion tonight in my heart

I bet for lovin'
I need to understand if you are
My only lover for every day in my life, oh babe
I bet for lovin'
Your feelings all around
My dreams come true now and forever
That's only for my heart

Everybody's burning for love
Every night hey love me, come on
Every one can lose his control
And let my body dance for your love","https://www.eurobeat-prime.com/lyrics.php?lyrics=3405
"
